Aflossing;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; 250 ; 250 ; -   ; 250 ; 250 ; 250 ;; 250 ; 500 ; 500 ; 750 ; 500 ; 750 ; 750 ; 750 ; 1.000 ; 1.000 ;; 8.000 ;; 1.000 ; 1.500 ; 1.000 ; 1.750 ; 1.750 ; 1.750 ; 1.750 ; 1.750 ; 2.500 ; 1.285 ;; 24.035 ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; 24.035 ;;;;
Lening Rabo eind;;; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ;; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 23.785 ; 23.535 ; 23.535 ; 23.285 ; 23.035 ; 22.785 ;; 22.535 ; 22.035 ; 21.535 ; 20.785 ; 20.285 ; 19.535 ; 18.785 ; 18.035 ; 17.035 ; 16.035 ;;;; 15.035 ; 13.535 ; 12.535 ; 10.785 ; 9.035 ; 7.285 ; 5.535 ; 3.785 ; 1.285 ; -   ;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bank saldo;;; 62 ; 156 ; 283 ; 442 ; 635 ; 531 ; 454 ; 402 ; 377 ; 379 ;; 410 ; 469 ; 557 ; 676 ; 575 ; 505 ; 717 ; 712 ; 753 ; 840 ;; 975 ; 921 ; 940 ; 784 ; 942 ; 925 ; 986 ; 1.126 ; 1.094 ; 1.155 ;;;; 1.309 ; 1.095 ; 1.476 ; 1.241 ; 1.140 ; 1.176 ; 1.348 ; 1.696 ; 1.470 ; 2.568 ;;;; 5.001 ; 7.488 ; 10.032 ; 12.632 ; 15.292 ; 18.011 ; 20.791 ; 23.634 ; 26.540 ; 29.512 ;; 29.512 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 633 ;;;;;;;;;;;;; 1.730 ;;;;;;;;;;;;; 29.512 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; -522 ;;;;;;;;;;;;; 1.730 ;;;;;;;;;;;;;;;;;
VPB- compensabel verlies;;; -   ; -   ; -   ; -   ; -   ; 115 ; 205 ; 269 ; 307 ; 318 ;; 301 ; 257 ; 184 ; 82 ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10 ; 10 ; 11 ; 12 ; 13 ; 14 ; 15 ; 16 ; 17 ; 18 ; 19 ; 20 ;; 21 ; 22 ; 23 ; 24 ; 25 ; 26 ; 27 ; 28 ; 29 ; 30 ;;;; 31 ; 32 ; 33 ; 34 ; 35 ; 36 ; 37 ; 38 ; 39 ;  ;;;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;;;;;
Aflossing jaren;;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;;39;;;;
Annuïtaire aflossing;;; 111 ; 116 ; 122 ; 128 ; 135 ; 142 ; 149 ; 157 ; 165 ; 173 ;; 182 ; 191 ; 201 ; 212 ; 222 ; 234 ; 246 ; 258 ; 271 ; 285 ;; 300 ; 315 ; 331 ; 348 ; 366 ; 385 ; 405 ; 425 ; 447 ; 470 ;; 7.496 ;; 494 ; 519 ; 546 ; 574 ; 603 ; 634 ; 667 ; 701 ; 736 ; 774 ;; 13.744 ;; 814 ; 855 ; 899 ; 945 ; 994 ; 1.044 ; 1.098 ; 1.154 ; 1.213 ; 1.275 ;; 24.035 ;;;;
Annuïteit afl. cum;;; 111 ; 227 ; 349 ; 477 ; 612 ; 754 ; 904 ; 1.060 ; 1.225 ; 1.399 ;; 1.581 ; 1.772 ; 1.973 ; 2.185 ; 2.407 ; 2.641 ; 2.887 ; 3.145 ; 3.417 ; 3.702 ;; 4.002 ; 4.317 ; 4.649 ; 4.997 ; 5.363 ; 5.748 ; 6.153 ; 6.578 ; 7.026 ; 7.496 ;;;; 7.990 ; 8.509 ; 9.055 ; 9.629 ; 10.232 ; 10.866 ; 11.533 ; 12.233 ; 12.970 ; 13.744 ;;;; 14.558 ; 15.413 ; 16.312 ; 17.257 ; 18.251 ; 19.295 ; 20.393 ; 21.547 ; 22.760 ; 24.035 ;;;;;;
Feitelijke afl. cum;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; 250 ; 500 ; 500 ; 750 ; 1.000 ; 1.250 ;; 1.500 ; 2.000 ; 2.500 ; 3.250 ; 3.750 ; 4.500 ; 5.250 ; 6.000 ; 7.000 ; 8.000 ;;;; 9.000 ; 10.500 ; 11.500 ; 13.250 ; 15.000 ; 16.750 ; 18.500 ; 20.250 ; 22.750 ; 24.035 ;;;; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ; 24.035 ;;;;;;
Aflossing achterstand;;; 111 ; 227 ; 349 ; 477 ; 612 ; 754 ; 904 ; 1.060 ; 1.225 ; 1.399 ;; 1.581 ; 1.772 ; 1.973 ; 2.185 ; 2.157 ; 2.141 ; 2.387 ; 2.395 ; 2.417 ; 2.452 ;; 2.502 ; 2.317 ; 2.149 ; 1.747 ; 1.613 ; 1.248 ; 903 ; 578 ; 26 ; -504 ;;;; -1.010 ; -1.991 ; -2.445 ; -3.621 ; -4.768 ; -5.884 ; -6.967 ; -8.017 ; -9.780 ; -10.291 ;;;; -9.477 ; -8.622 ; -7.723 ; -6.778 ; -5.784 ; -4.740 ; -3.642 ; -2.488 ; -1.275 ; -   ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cum inflatie;;;102,5%;105,1%;107,7%;110,4%;113,1%;116,0%;118,9%;121,8%;124,9%;128,0%;;131,2%;134,5%;137,9%;141,3%;144,8%;148,5%;152,2%;156,0%;159,9%;163,9%;;168,0%;172,2%;176,5%;180,9%;185,4%;190,0%;194,8%;199,6%;204,6%;209,8%;;;;215,0%;220,4%;225,9%;231,5%;237,3%;243,3%;249,3%;255,6%;262,0%;268,5%;;;;275,2%;282,1%;289,2%;296,4%;303,8%;311,4%;319,2%;327,1%;335,3%;343,7%;;;;;;
Inflatie+groei onderhoud;;1;103,0%;106,1%;109,3%;112,6%;115,9%;119,4%;123,0%;126,7%;130,5%;134,4%;;138,4%;142,6%;146,9%;151,3%;155,8%;160,5%;165,3%;170,2%;175,4%;180,6%;;186,0%;191,6%;197,4%;203,3%;209,4%;215,7%;222,1%;228,8%;235,7%;242,7%;;;;250,0%;257,5%;265,2%;273,2%;281,4%;289,8%;298,5%;307,5%;316,7%;326,2%;;;;336,0%;346,1%;356,5%;367,1%;378,2%;389,5%;401,2%;413,2%;425,6%;438,4%;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MJOP SHW;1218,578707;;1243,157768;1183,553268;1304,102867;658,4212638;349,0325685;360,0470668;208,9446441;229,5277355;323,0035893;224,2105983;;343,3416288;552,7016304;354,2682495;436,7638998;615,3696564;507,861316;564,5657771;572,4407117;339,8289551;1527,210753;;2282,374119;373,8178636;564,0627141;3190,951137;2771,061834;985,1270168;3428,32503;2160,535473;809,5791969;881,4011023;; 29.346 ;;499,7138617;588,053869;1614,946838;536,2240531;930,659911;1219,083059;979,3413439;1052,025764;1306,53576;1255,659247;; 39.328 ;;1250,531534;1215,555522;2511,401378;2357,757091;5639,756757;829,2612417;2729,268111;7359,121021;8276,747481;3575;; 75.072 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3,50%;100;103,5;107,1225;110,8717875;114,7523001;118,7686306;122,9255326;127,2279263;131,6809037;136,2897353;141,0598761;;145,9969717;151,1068657;156,395606;161,8694522;167,5348831;173,398604;179,4675551;185,7489196;192,2501317;198,9788863;;205,9431474;213,1511575;220,611448;228,3328487;236,3244984;244,5958559;253,1567108;262,0171957;271,1877976;280,6793705;;;;290,5031484;300,6707586;311,1942352;322,0860334;333,3590446;345,0266111;357,1025425;369,6011315;382,5371711;395,9259721;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127,5%;;;;;;
Prognose Balansen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onroerend goed;;; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ;; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ;; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ;;;; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ;;;; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ; 49.127 ;;;;;;
Bank;;; 62 ; 156 ; 283 ; 442 ; 635 ; 531 ; 454 ; 402 ; 377 ; 379 ;; 410 ; 469 ; 557 ; 676 ; 575 ; 505 ; 717 ; 712 ; 753 ; 840 ;; 975 ; 921 ; 940 ; 784 ; 942 ; 925 ; 986 ; 1.126 ; 1.094 ; 1.155 ;;;; 1.309 ; 1.095 ; 1.476 ; 1.241 ; 1.140 ; 1.176 ; 1.348 ; 1.696 ; 1.470 ; 2.568 ;;;; 5.001 ; 7.488 ; 10.032 ; 12.632 ; 15.292 ; 18.011 ; 20.791 ; 23.634 ; 26.540 ; 29.512 ;;;;;;
