;;;;Annuitair Amortisatieschema;;;;;;;;;;;;
;;;Alleen gegevens in het blauw handmatig wijzigen. ;;;;;;;;;;;;;
;;;Input voor amortisatieschema;;Koopsom;;;;Basis voor amortisatieschema;;;;;;;
;;;Bedrag Lening (excl rente); € 24.034.770 ; € 23.563.500 ;;;;Periodieke annuiteit;; € 109.151,21 ;;;;;
;;;Jaarlijkse Interest;5,00%;;;;;Totaal aantal termijnen;;600;;;;;
;;;Leenperiode in jaren;50;;;;;Slottermijn;;;;;;;
;;;Aantal termijnen per jaar;12;;;;;Annuiteit per jaar;; € 1.309.814,50 ;;;;;
;;;Startdatum;31-12-2025;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Nr;Betaaldatum;Beginsaldo;Periodieke Annuiteit;Annuïtaire rente;Annuïtaire aflossing;Jaaraflossing annuïtair;Hoofdsom (feitelijke aflossing);Rente;Eindsaldo;Rente Cumulatief;Rente Resterend;;Jaarrente;Jaaraflossing feitelijk
11;0;59;30-11-2030; € 24.034.770,00 ; € 109.151,21 ;€ 97.689;€ 11.462,64;;; € 100.144,88 ; € 24.034.770,00 ; € 5.908.547,63 ; € 20.202.326,29 ;2030;  ;  
12;1;60;31-12-2030; € 24.034.770,00 ; € 109.151,21 ;€ 97.641;€ 11.510,40;€ 135.016; € -   ; € 100.144,88 ; € 24.034.770,00 ; € 6.008.692,50 ; € 20.197.117,96 ;2030; € 1.201.738,50 ; € -   
1;0;61;31-1-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.593;€ 11.558,36;;; € 100.144,88 ; € 24.034.770,00 ; € 6.108.837,38 ; € 20.191.909,63 ;2031;  ;  
2;0;62;28-2-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.545;€ 11.606,52;;; € 100.144,88 ; € 24.034.770,00 ; € 6.208.982,25 ; € 20.183.576,29 ;2031;  ;  
3;0;63;31-3-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.496;€ 11.654,88;;; € 100.144,88 ; € 24.034.770,00 ; € 6.309.127,13 ; € 20.175.242,96 ;2031;  ;  
4;0;64;30-4-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.448;€ 11.703,44;;; € 100.144,88 ; € 24.034.770,00 ; € 6.409.272,00 ; € 20.166.909,63 ;2031;  ;  
5;0;65;31-5-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.399;€ 11.752,20;;; € 100.144,88 ; € 24.034.770,00 ; € 6.509.416,88 ; € 20.158.576,29 ;2031;  ;  
6;0;66;30-6-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.350;€ 11.801,17;;; € 100.144,88 ; € 24.034.770,00 ; € 6.609.561,75 ; € 20.150.242,96 ;2031;  ;  
7;0;67;31-7-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.301;€ 11.850,34;;; € 100.144,88 ; € 24.034.770,00 ; € 6.709.706,63 ; € 20.141.909,63 ;2031;  ;  
8;0;68;31-8-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.251;€ 11.899,72;;; € 100.144,88 ; € 24.034.770,00 ; € 6.809.851,50 ; € 20.133.576,29 ;2031;  ;  
9;0;69;30-9-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.202;€ 11.949,30;;; € 100.144,88 ; € 24.034.770,00 ; € 6.909.996,38 ; € 20.125.242,96 ;2031;  ;  
10;0;70;31-10-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.152;€ 11.999,09;;; € 100.144,88 ; € 24.034.770,00 ; € 7.010.141,25 ; € 20.116.909,63 ;2031;  ;  
11;0;71;30-11-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.102;€ 12.049,09;;; € 100.144,88 ; € 24.034.770,00 ; € 7.110.286,13 ; € 20.108.576,29 ;2031;  ;  
12;1;72;31-12-2031; € 24.034.770,00 ; € 109.151,21 ;€ 97.052;€ 12.099,29;€ 141.923; € -   ; € 100.144,88 ; € 24.034.770,00 ; € 7.210.431,00 ; € 20.100.242,96 ;2031; € 1.201.738,50 ; € -   
1;0;73;31-1-2032; € 24.034.770,00 ; € 109.151,21 ;€ 97.002;€ 12.149,70;;; € 100.144,88 ; € 24.034.770,00 ; € 7.310.575,88 ; € 20.091.909,63 ;2032;  ;  
2;0;74;29-2-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.951;€ 12.200,33;;; € 100.144,88 ; € 24.034.770,00 ; € 7.410.720,75 ; € 20.080.451,29 ;2032;  ;  
3;0;75;31-3-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.900;€ 12.251,16;;; € 100.144,88 ; € 24.034.770,00 ; € 7.510.865,63 ; € 20.068.992,96 ;2032;  ;  
4;0;76;30-4-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.849;€ 12.302,21;;; € 100.144,88 ; € 24.034.770,00 ; € 7.611.010,50 ; € 20.057.534,63 ;2032;  ;  
5;0;77;31-5-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.798;€ 12.353,47;;; € 100.144,88 ; € 24.034.770,00 ; € 7.711.155,38 ; € 20.046.076,29 ;2032;  ;  
6;0;78;30-6-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.746;€ 12.404,94;;; € 100.144,88 ; € 24.034.770,00 ; € 7.811.300,25 ; € 20.034.617,96 ;2032;  ;  
7;0;79;31-7-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.695;€ 12.456,63;;; € 100.144,88 ; € 24.034.770,00 ; € 7.911.445,13 ; € 20.023.159,63 ;2032;  ;  
8;0;80;31-8-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.643;€ 12.508,53;;; € 100.144,88 ; € 24.034.770,00 ; € 8.011.590,00 ; € 20.011.701,29 ;2032;  ;  
9;0;81;30-9-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.591;€ 12.560,65;;; € 100.144,88 ; € 24.034.770,00 ; € 8.111.734,88 ; € 20.000.242,96 ;2032;  ;  
10;0;82;31-10-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.538;€ 12.612,99;;; € 100.144,88 ; € 24.034.770,00 ; € 8.211.879,75 ; € 19.988.784,63 ;2032;  ;  
11;0;83;30-11-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.486;€ 12.665,54;;; € 100.144,88 ; € 24.034.770,00 ; € 8.312.024,63 ; € 19.977.326,29 ;2032;  ;  
12;1;84;31-12-2032; € 24.034.770,00 ; € 109.151,21 ;€ 96.433;€ 12.718,31;€ 149.184; € -   ; € 100.144,88 ; € 24.034.770,00 ; € 8.412.169,50 ; € 19.965.867,96 ;2032; € 1.201.738,50 ; € -   
1;0;85;31-1-2033; € 24.034.770,00 ; € 109.151,21 ;€ 96.380;€ 12.771,31;;; € 100.144,88 ; € 24.034.770,00 ; € 8.512.314,38 ; € 19.954.409,63 ;2033;  ;  
2;0;86;28-2-2033; € 24.034.770,00 ; € 109.151,21 ;€ 96.327;€ 12.824,52;;; € 100.144,88 ; € 24.034.770,00 ; € 8.612.459,25 ; € 19.940.867,96 ;2033;  ;  
3;0;87;31-3-2033; € 24.034.770,00 ; € 109.151,21 ;€ 96.273;€ 12.877,96;;; € 100.144,88 ; € 24.034.770,00 ; € 8.712.604,13 ; € 19.927.326,29 ;2033;  ;  
4;0;88;30-4-2033; € 24.034.770,00 ; € 109.151,21 ;€ 96.220;€ 12.931,61;;; € 100.144,88 ; € 24.034.770,00 ; € 8.812.749,00 ; € 19.913.784,63 ;2033;  ;  
5;0;89;31-5-2033; € 24.034.770,00 ; € 109.151,21 ;€ 96.166;€ 12.985,49;;; € 100.144,88 ; € 24.034.770,00 ; € 8.912.893,88 ; € 19.900.242,96 ;2033;  ;  
6;0;90;30-6-2033; € 24.034.770,00 ; € 109.151,21 ;€ 96.112;€ 13.039,60;;; € 100.144,88 ; € 24.034.770,00 ; € 9.013.038,75 ; € 19.886.701,29 ;2033;  ;  
7;0;91;31-7-2033; € 24.034.770,00 ; € 109.151,21 ;€ 96.057;€ 13.093,93;;; € 100.144,88 ; € 24.034.770,00 ; € 9.113.183,63 ; € 19.873.159,63 ;2033;  ;  
8;0;92;31-8-2033; € 24.034.770,00 ; € 109.151,21 ;€ 96.003;€ 13.148,49;;; € 100.144,88 ; € 24.034.770,00 ; € 9.213.328,50 ; € 19.859.617,96 ;2033;  ;  
9;0;93;30-9-2033; € 24.034.770,00 ; € 109.151,21 ;€ 95.948;€ 13.203,28;;; € 100.144,88 ; € 24.034.770,00 ; € 9.313.473,38 ; € 19.846.076,29 ;2033;  ;  
10;0;94;31-10-2033; € 24.034.770,00 ; € 109.151,21 ;€ 95.893;€ 13.258,29;;; € 100.144,88 ; € 24.034.770,00 ; € 9.413.618,25 ; € 19.832.534,63 ;2033;  ;  
11;0;95;30-11-2033; € 24.034.770,00 ; € 109.151,21 ;€ 95.838;€ 13.313,53;;; € 100.144,88 ; € 24.034.770,00 ; € 9.513.763,13 ; € 19.818.992,96 ;2033;  ;  
12;1;96;31-12-2033; € 24.034.770,00 ; € 109.151,21 ;€ 95.782;€ 13.369,01;€ 156.817; € -   ; € 100.144,88 ; € 24.034.770,00 ; € 9.613.908,00 ; € 19.805.451,29 ;2033; € 1.201.738,50 ; € -   
1;0;97;31-1-2034; € 24.034.770,00 ; € 109.151,21 ;€ 95.726;€ 13.424,71;;; € 100.144,88 ; € 24.034.770,00 ; € 9.714.052,88 ; € 19.791.909,63 ;2034;  ;  
2;0;98;28-2-2034; € 24.034.770,00 ; € 109.151,21 ;€ 95.671;€ 13.480,65;;; € 100.144,88 ; € 24.034.770,00 ; € 9.814.197,75 ; € 19.775.242,96 ;2034;  ;  
3;0;99;31-3-2034; € 24.034.770,00 ; € 109.151,21 ;€ 95.614;€ 13.536,82;;; € 100.144,88 ; € 24.034.770,00 ; € 9.914.342,63 ; € 19.758.576,29 ;2034;  ;  
4;0;100;30-4-2034; € 24.034.770,00 ; € 109.151,21 ;€ 95.558;€ 13.593,22;;; € 100.144,88 ; € 24.034.770,00 ; € 10.014.487,50 ; € 19.741.909,63 ;2034;  ;  
5;0;101;31-5-2034; € 24.034.770,00 ; € 109.151,21 ;€ 95.501;€ 13.649,86;;; € 100.144,88 ; € 24.034.770,00 ; € 10.114.632,38 ; € 19.725.242,96 ;2034;  ;  
6;0;102;30-6-2034; € 24.034.770,00 ; € 109.151,21 ;€ 95.444;€ 13.706,73;;; € 100.144,88 ; € 24.034.770,00 ; € 10.214.777,25 ; € 19.708.576,29 ;2034;  ;  
7;0;103;31-7-2034; € 24.034.770,00 ; € 109.151,21 ;€ 95.387;€ 13.763,84;;; € 100.144,88 ; € 24.034.770,00 ; € 10.314.922,13 ; € 19.691.909,63 ;2034;  ;  
8;0;104;31-8-2034; € 24.034.770,00 ; € 109.151,21 ;€ 95.330;€ 13.821,19;;; € 100.144,88 ; € 24.034.770,00 ; € 10.415.067,00 ; € 19.675.242,96 ;2034;  ;  
